Splunkbase_ID,App_Name,Folder_Name,Developed_By,Latest_Version,type,Cisco_App_Class,Support,Supported_Cisco_Products_Zipped,Deprecated,Replacement,Archived,Archive_Status,Sourcetypes
7404,Cisco Security Cloud,CiscoSecurityCloud,"Cisco Systems, Inc.",3.6.1,addon,Main Security App,cisco,"Cisco AI Defense, Cisco Duo Security (Duo), Cisco Email Threat Defense (ETD), Cisco Extended Detection and Response (XDR), Cisco Identity Intelligence (CII), Cisco Isovalent (Isovalent), Cisco Isovalent Edge Processor (IEP), Cisco Multicloud Defense (MCD), Cisco Network Visibility Module (NVM), Cisco Secure Endpoint (CSE/AMP), Cisco Secure Firewall (FTD/eStreamer/ASA), Cisco Secure Malware Analytics (SMA), Cisco Secure Network Analytics (SNA), Cisco Secure Workload (CSW), Cisco Vulnerability Intelligence (CVI)",No,,FALSE,live,cisco:ai:defense|cisco:ai:defense:notable|cisco:asa|cisco:cii|cisco:cvi|cisco:duo:authentication|cisco:duo:authentication_v2|cisco:etd|cisco:ftd:syslog|cisco:isovalent|cisco:isovalent:alert|cisco:isovalent:edge_processor|cisco:isovalent:edge_processor:alert|cisco:isovalent:edge_processor:processconnect|cisco:isovalent:edge_processor:processexec|cisco:isovalent:edge_processor:telemetry:network|cisco:isovalent:edge_processor:telemetry:process|cisco:isovalent:processconnect|cisco:isovalent:processexec|cisco:isovalent:telemetry:network|cisco:isovalent:telemetry:process|cisco:multicloud:defense:appid|cisco:multicloud:defense:auditlogs|cisco:multicloud:defense:av|cisco:multicloud:defense:dlp|cisco:multicloud:defense:dpi|cisco:multicloud:defense:fqdn_resoleve|cisco:multicloud:defense:fqdnfilter|cisco:multicloud:defense:l4_fw|cisco:multicloud:defense:l7dos|cisco:multicloud:defense:malicious_src|cisco:multicloud:defense:session_summary|cisco:multicloud:defense:sni|cisco:multicloud:defense:systemlogs|cisco:multicloud:defense:tls_error|cisco:multicloud:defense:tls_log|cisco:multicloud:defense:urlfilter|cisco:multicloud:defense:valtix_internal|cisco:multicloud:defense:waf|cisco:nvm:eve:v2|cisco:nvm:flowdata:v2|cisco:nvm:ifdata:v2|cisco:nvm:osquery:v2|cisco:nvm:processinfodata:v2|cisco:nvm:sysdata:v2|cisco:sbg:api:error|cisco:sbg:api:status|cisco:sbg:data|cisco:se|cisco:secure:workload|cisco:sfw:estreamer|cisco:sma:submissions|cisco:sna|cisco:sna:notable|cisco:sna:risk|cisco:xdr:incidents|cisco:xdr:incidents-summary|cisco:xdr:incidents-summary:notable|gateway
7538,Cisco Catalyst Add-on for Splunk,TA_cisco_catalyst,"Cisco Systems, Inc.",3.0.0,addon,Main Network App,cisco,"Cisco Access Points (AP), Cisco Aggregation Services Routers (ASR), Cisco Carrier Routing System (CRS), Cisco Catalyst Center, Cisco Catalyst SD-WAN, Cisco Catalyst Switches, Cisco Cyber Vision (CCV), Cisco Identity Services Engine (ISE), Cisco Integrated Services Routers (ISR), Cisco Meraki (Meraki), Cisco Nexus Switches (NEX), Cisco ThousandEyes (TE), Cisco Wireless LAN Controller (WLC)",No,,FALSE,live,cisco:catalyst:syslog|cisco:cybervision:activities|cisco:cybervision:components|cisco:cybervision:devices|cisco:cybervision:events|cisco:cybervision:flows|cisco:cybervision:syslog|cisco:cybervision:vulnerabilities|cisco:dnac:audit:logs|cisco:dnac:client|cisco:dnac:clienthealth|cisco:dnac:compliance|cisco:dnac:devicehealth|cisco:dnac:issue|cisco:dnac:networkhealth|cisco:dnac:securityadvisory|cisco:dnac:site:topology|cisco:firewall:logs|cisco:ios|cisco:ise|cisco:ise:radius:authz:policy|cisco:ise:radius:policyset|cisco:ise:securitygroups|cisco:ise:sgtbindings|cisco:ise:syslog|cisco:ise:tacacs:authz:policy|cisco:ise:tacacs:policyset|cisco:sdwan:acl:logs|cisco:sdwan:alert:off|cisco:sdwan:alert:on|cisco:sdwan:audit:logs|cisco:sdwan:block:host|cisco:sdwan:dmi:cli:engine:write:fail|cisco:sdwan:drop:pkt|cisco:sdwan:host:tcp:alert:on|cisco:sdwan:linkhealth|cisco:sdwan:log:summary|cisco:sdwan:pass:pkt|cisco:sdwan:session:audit:trail|cisco:sdwan:session:audit:trail:start|cisco:sdwan:sessions:maximum|cisco:sdwan:sgacl:logs|cisco:sdwan:sitehealth|cisco:sdwan:smart:lic:platform:error|cisco:sdwan:ssetunnels|cisco:sdwan:system:logs|cisco:sdwan:tunnelhealth|cisco:sdwan:unblock:host|cisco:sdwan:utd:logs|cisco:sdwan:utdhealth|cisco:sgacl:logs|cisco:telemetry|rfc5424_syslog|splunktaciscocybervision:log|splunktaciscodnacenter:log|splunktaciscoise:log|splunktaciscosdwan:log|stream:netflow|syslog
7539,Cisco Enterprise Networking for Splunk Platform,cisco-catalyst-app,"Cisco Systems, Inc.",3.0.0,app,Main Network App,cisco,"Cisco Cyber Vision (CCV), Cisco Catalyst Center, Cisco Identity Services Engine (ISE), Cisco Meraki (Meraki), Cisco Catalyst SD-WAN, Cisco ThousandEyes (TE)",No,,FALSE,live,
7548,Custom Alert for Cisco ISE MAC Block,splunk_cisco_ise_alert,WIMBO PRABA CANDRA SUCI,1.0.4,addon,,not_supported,Cisco Identity Services Engine (ISE),No,,FALSE,live,
7557,Cisco Talos Intelligence for Enterprise Security Cloud,Splunk_TA_Talos_Intelligence,Splunk LLC,1.0.1,app,Main Apps,splunk,Cisco Talos (Talos),No,,FALSE,live,
7569,Cisco Secure Access Add-on for Splunk,TA-cisco-cloud-security-addon,"Cisco Systems, Inc.",1.0.48,addon,Main Apps,cisco,"Cisco Cloudlock Cloud Access Security Broker (CASB), Cisco Secure Access (SSE), Cisco Umbrella",No,,FALSE,live,cisco:cloud_security:audit|cisco:cloud_security:dlp|cisco:cloud_security:dns|cisco:cloud_security:fileevent|cisco:cloud_security:firewall|cisco:cloud_security:intrusion|cisco:cloud_security:proxy|cisco:cloud_security:ravpn|cisco:cloud_security:ztna|cisco:cloud_security:ztnaenrollment|cisco:cloud_security:ztnaflow
7711,Cisco Talos Intelligence,7c653487-22c8-4ec1-bca0-16a8b1513c86,Splunk,1.0.14,connector,SOAR,splunk,Cisco Talos (Talos),No,,FALSE,live,
7719,Cisco ThousandEyes App for Splunk,ta_cisco_thousandeyes,"Cisco Systems, Inc.",0.5.0,app,Main Apps,cisco,Cisco ThousandEyes (TE),No,,FALSE,live,cisco:thousandeyes:activity|cisco:thousandeyes:alerts|cisco:thousandeyes:event|cisco:thousandeyes:metric|cisco:thousandeyes:path-vis|cisco:thousandeyes:trace|ciscothousandeyes:log
7745,Cisco Secure Firewall,268cecc2-a5ea-438b-96f8-3ab1d8443d93,Splunk,1.0.2,connector,SOAR,splunk,Cisco Secure Firewall (FTD/eStreamer/ASA),No,,FALSE,live,
7770,Cisco Secure Email and Web Manager,aace5ad3-282e-4779-87a1-75762f83f5c9,Splunk,1.0.4,connector,SOAR,splunk,"Cisco Secure Email Gateway, Cisco Web Security Appliance",No,,FALSE,live,
7777,Cisco DC Networking,cisco_dc_networking_app_for_splunk,"Cisco Systems, Inc.",1.2.0,app,Main Apps,cisco,"Cisco Nexus Switches (NEX), Cisco Application Centric Infrastructure (Cisco ACI), Cisco Nexus Dashboard (ND), Cisco Nexus HyperFabric",No,,FALSE,live,cisco:dc:aci:authentication|cisco:dc:aci:class|cisco:dc:aci:health|cisco:dc:aci:stats|cisco:dc:aci:syslog|cisco:dc:mso:syslog|cisco:dc:nd:advisories|cisco:dc:nd:anomalies|cisco:dc:nd:congestion|cisco:dc:nd:endpoints|cisco:dc:nd:fabrics|cisco:dc:nd:flows|cisco:dc:nd:mso|cisco:dc:nd:protocols|cisco:dc:nd:switches|cisco:dc:nd:syslog|cisco:dc:nexus9k|cisco:dc:nexus9k:syslog|ciscodcaci:log|ciscodcn9k:log|ciscodcnd:log
7828,Cisco Intersight Add-on for Splunk,Splunk_TA_Cisco_Intersight,"Cisco Systems, Inc.",3.1.0,addon,Main Apps,cisco,Cisco Intersight (Intersight),No,,FALSE,live,cisco:intersight:advisories|cisco:intersight:alarms|cisco:intersight:auditrecords|cisco:intersight:compute|cisco:intersight:contract|cisco:intersight:contracts|cisco:intersight:custom:inventory|cisco:intersight:custom:metrics|cisco:intersight:fabric|cisco:intersight:license|cisco:intersight:licenses|cisco:intersight:metrics|cisco:intersight:network|cisco:intersight:networkelements|cisco:intersight:networkobjects|cisco:intersight:pools|cisco:intersight:profiles|cisco:intersight:target|cisco:intersight:targets
7858,Catalyst Center Add-on,Splunk-TA-cisco-catalyst-center,Cisco EN Programmability,1.0.1,addon,,developer,Cisco Catalyst Center,No,,FALSE,live,cisco:catalyst:client|cisco:catalyst:clienthealth|cisco:catalyst:compliance|cisco:catalyst:devicehealth|cisco:catalyst:issue|cisco:catalyst:networkhealth|cisco:catalyst:securityadvisory|splunktaciscocatalystcenter:log
7859,Catalyst Center App,Splunk-cisco-catalyst-center,Cisco EN Programmability,1.0.0,app,,developer,Cisco Catalyst Center,No,,FALSE,live,
7960,Cisco Meraki,c6d3d4d5-5c2f-4f0d-a1b2-c3d4e5f6a7b8,Splunk,1.0.1,connector,SOAR,splunk,Cisco Meraki,No,,FALSE,live,
8085,Cisco Umbrella v2,1f90d598-9e22-4121-99a7-e05f7a01bb26,Splunk,1.0.0,connector,SOAR,splunk,Cisco Umbrella,No,,FALSE,live,
8358,Webex Alert Action,webex_alert,alexandre argeris,1.0.0,app,,not_supported,Cisco Webex,No,,FALSE,live,
8365,Webex Add-on for Splunk,ta_cisco_webex_add_on_for_splunk,Yuan Ling,1.3.1,addon,,developer,Cisco Webex (Webex),No,,FALSE,live,cisco:webex:admin:audit:events|cisco:webex:call:detailed_history|cisco:webex:meeting:attendee:reports|cisco:webex:meeting:qualities|cisco:webex:meeting:usage:reports|cisco:webex:meetings|cisco:webex:security:audit:events|taciscowebexaddonforsplunk:log
8413,Supporting App for Cisco Meeting Server,SA_cisco_meeting_server,Nick Mealy,0.5.2,app,,developer,Cisco Meeting Server (CMS),No,,FALSE,live,cms_cdr
8429,Sideview Supporting App for Webex,SA_sideview_webex,Nick Mealy,0.5.0,app,,developer,Cisco Webex (Webex),No,,FALSE,live,
8485,Spaces Add-On for Splunk,ta_cisco_spaces,Tjene,1.0.7,addon,,developer,"Cisco Connected Mobile Experiences (Cisco CMX), Cisco Spaces",No,,FALSE,live,
,,,,,,,,,,,,,
